Date,Open,High,Low,Close,Adj Close,Volume
22-11-2010,10.952857,11.191429,10.923929,11.191429,9.48675,393075200
23-11-2010,11.0875,11.133929,10.948571,11.026071,9.346576,519447600
24-11-2010,11.142857,11.264286,11.133929,11.242857,9.530339,413725200
26-11-2010,11.205,11.346429,11.176429,11.25,9.536398,237585600
29-11-2010,11.267857,11.338571,11.120714,11.316786,9.59301,445785200
30-11-2010,11.197857,11.227143,11.1025,11.1125,9.419841,501858000
01-12-2010,11.259643,11.348214,11.25,11.3,9.578782,461750800
02-12-2010,11.340357,11.392857,11.246071,11.3625,9.631762,462837200
03-12-2010,11.321786,11.380357,11.297857,11.337143,9.610269,342092800
06-12-2010,11.38,11.511786,11.372143,11.433929,9.69231,448481600
07-12-2010,11.564286,11.571071,11.361429,11.364643,9.633578,391454000
08-12-2010,11.415357,11.465,11.325357,11.464643,9.718348,321935600
09-12-2010,11.504643,11.517857,11.393571,11.42,9.680505,294151200
10-12-2010,11.416071,11.466071,11.378571,11.448571,9.704725,262511200
13-12-2010,11.584643,11.609286,11.464286,11.488214,9.738328,439815600
14-12-2010,11.490357,11.519286,11.392857,11.438929,9.696546,351008000
15-12-2010,11.428571,11.535714,11.399643,11.441429,9.698668,417312000
16-12-2010,11.4675,11.521786,11.432143,11.473214,9.725613,322030800
17-12-2010,11.486786,11.4925,11.436786,11.450357,9.706236,386929200
20-12-2010,11.485714,11.544643,11.365357,11.5075,9.754673,385610400
21-12-2010,11.535714,11.585357,11.501786,11.578571,9.814919,256354000
22-12-2010,11.584286,11.632857,11.555357,11.612857,9.843982,265921600
23-12-2010,11.607143,11.6125,11.541786,11.557143,9.796757,223157200
27-12-2010,11.530357,11.622857,11.482857,11.595714,9.829453,249816000
28-12-2010,11.639643,11.666429,11.609286,11.623929,9.85337,175924000
29-12-2010,11.650714,11.658929,11.610714,11.6175,9.847919,163139200
30-12-2010,11.624286,11.625357,11.5375,11.559286,9.798574,157494400
31-12-2010,11.533929,11.552857,11.475357,11.52,9.765272,193508000
03-01-2011,11.63,11.795,11.601429,11.770357,9.977497,445138400
04-01-2011,11.872857,11.875,11.719643,11.831786,10.029564,309080800
05-01-2011,11.769643,11.940714,11.767857,11.928571,10.11161,255519600
06-01-2011,11.954286,11.973214,11.889286,11.918929,10.103435,300428800
07-01-2011,11.928214,12.0125,11.853571,12.004286,10.175789,311931200
10-01-2011,12.101071,12.258214,12.041786,12.230357,10.367428,448560000
11-01-2011,12.317143,12.32,12.123929,12.201429,10.342905,444108000
12-01-2011,12.258929,12.301071,12.214286,12.300714,10.427069,302590400
13-01-2011,12.327143,12.38,12.280357,12.345714,10.46521,296780400
14-01-2011,12.353214,12.445714,12.301429,12.445714,10.549978,308840000
18-01-2011,11.768571,12.312857,11.642857,12.166071,10.312929,1880998000
19-01-2011,12.441071,12.45,12.031429,12.101429,10.258138,1135612800
20-01-2011,12.015357,12.082143,11.79,11.881429,10.071646,764789200
21-01-2011,11.920357,11.96,11.665357,11.668571,9.891214,754401200
24-01-2011,11.673929,12.051786,11.668571,12.051786,10.216055,574683200
25-01-2011,12.011786,12.194286,11.948929,12.192857,10.33564,546868000
26-01-2011,12.248571,12.342857,12.196429,12.280357,10.409808,506875600
27-01-2011,12.277857,12.310357,12.243929,12.2575,10.390434,285026000
28-01-2011,12.291786,12.3,11.911786,12.003571,10.175183,592057200
31-01-2011,11.992857,12.144286,11.939286,12.118571,10.272671,377246800
01-02-2011,12.189286,12.344643,12.177857,12.3225,10.445535,426633200
02-02-2011,12.301786,12.330357,12.269643,12.297143,10.424042,258955200
03-02-2011,12.278571,12.294286,12.091071,12.265714,10.397399,393797600
04-02-2011,12.272857,12.382143,12.268214,12.375,10.490038,321840400
07-02-2011,12.424643,12.616071,12.415714,12.567143,10.652913,485021600
08-02-2011,12.631429,12.697143,12.576786,12.685714,10.753421,381040800
09-02-2011,12.685357,12.821429,12.673929,12.791429,10.843036,482745200
10-02-2011,12.763929,12.857143,12.428571,12.662143,10.733441,928550000
11-02-2011,12.669643,12.778571,12.626429,12.744643,10.803376,367572800
14-02-2011,12.7425,12.838571,12.739643,12.827857,10.873917,310416400
15-02-2011,12.828214,12.856071,12.769643,12.853571,10.895713,284174800
16-02-2011,12.885714,13.032143,12.875,12.968929,10.993497,481157600
17-02-2011,12.758929,12.866786,12.732857,12.796429,10.847274,530583200
18-02-2011,12.811071,12.839286,12.482857,12.52,10.612954,816057200
22-02-2011,12.219643,12.335714,12.061429,12.093214,10.251172,872555600
23-02-2011,12.098929,12.308571,12.093214,12.236429,10.372575,671854400
24-02-2011,12.286429,12.326786,12.084643,12.245714,10.380443,499900800
25-02-2011,12.330714,12.443929,12.314286,12.434286,10.540292,380018800
28-02-2011,12.544286,12.680357,12.54,12.614643,10.693178,403074000
01-03-2011,12.695357,12.704286,12.417143,12.475357,10.575107,456136800
02-03-2011,12.498571,12.655357,12.442857,12.575714,10.66018,602590800
03-03-2011,12.756786,12.849643,12.711429,12.841429,10.88542,500788400
04-03-2011,12.859643,12.8675,12.776786,12.857143,10.898745,453266800
07-03-2011,12.907143,12.916786,12.546786,12.691429,10.758267,546123200
08-03-2011,12.675357,12.764286,12.580357,12.705714,10.770378,356316800
09-03-2011,12.6675,12.67,12.521429,12.588214,10.670773,453306000
10-03-2011,12.468571,12.491786,12.317857,12.381071,10.495182,507539200
11-03-2011,12.333214,12.582857,12.321429,12.571071,10.656243,471080400
14-03-2011,12.613571,12.731429,12.546786,12.627143,10.703773,435957200
15-03-2011,12.217857,12.422857,12.146429,12.336786,10.457646,721081200
16-03-2011,12.214286,12.25,11.652143,11.786071,9.990812,1162011200
17-03-2011,12.029643,12.128929,11.809286,11.951429,10.130985,659422400
18-03-2011,12.040357,12.078571,11.785714,11.809643,10.010792,753214000
21-03-2011,11.999643,12.133571,11.973571,12.117857,10.272064,409402000
22-03-2011,12.234286,12.236429,12.112143,12.185714,10.329581,325922800
23-03-2011,12.117143,12.150714,11.998214,12.113929,10.268729,372996400
24-03-2011,12.208929,12.357143,12.102143,12.320357,10.443716,404712000
25-03-2011,12.431071,12.573571,12.393571,12.555,10.642621,448910000
28-03-2011,12.6125,12.654286,12.515714,12.515714,10.609319,309355200
29-03-2011,12.416429,12.534286,12.359286,12.534286,10.62506,352900800
30-03-2011,12.522857,12.531429,12.408571,12.451071,10.554523,329406000
31-03-2011,12.37,12.492857,12.359286,12.446786,10.550887,274019200
01-04-2011,12.539643,12.556786,12.260714,12.305714,10.431304,418661600
04-04-2011,12.296786,12.307143,12.085714,12.185357,10.32928,460084800
05-04-2011,12.035357,12.223214,12,12.103214,10.259652,482731200
06-04-2011,12.186429,12.282143,12.040714,12.072857,10.233917,402539200
07-04-2011,12.075,12.158214,12.001071,12.074286,10.235129,373447200
08-04-2011,12.14,12.148214,11.926786,11.966429,10.143699,377535200
11-04-2011,11.930714,11.988214,11.786429,11.814286,10.014729,398946800
12-04-2011,11.803214,11.918929,11.792857,11.871429,10.063169,425639200
13-04-2011,11.965,12.005,11.875714,12.004643,10.176093,346220000
14-04-2011,11.957143,12,11.859286,11.872143,10.063773,301800800
15-04-2011,11.903571,11.915714,11.671429,11.695,9.913614,453605600
18-04-2011,11.646429,11.865357,11.434286,11.851786,10.046517,609898800
19-04-2011,11.896429,12.070714,11.846786,12.066429,10.228468,419378400
20-04-2011,12.268214,12.348214,12.196429,12.228929,10.366216,700666400
21-04-2011,12.678571,12.683214,12.447143,12.525,10.617187,753810400
25-04-2011,12.512143,12.633929,12.510714,12.6075,10.687122,266546000
26-04-2011,12.629286,12.678214,12.476786,12.515,10.608713,338800000
27-04-2011,12.58,12.583929,12.396429,12.505357,10.600536,356213200
28-04-2011,12.363929,12.491071,12.34,12.383929,10.497603,360959200
29-04-2011,12.385,12.641071,12.381071,12.504643,10.59993,1006345200
02-05-2011,12.490714,12.516786,12.339286,12.367143,10.483378,442713600
03-05-2011,12.428214,12.496071,12.343571,12.435714,10.541503,313348000
04-05-2011,12.437857,12.565357,12.388571,12.484643,10.582981,389250400
05-05-2011,12.442857,12.533929,12.358929,12.383929,10.497603,335969200
06-05-2011,12.488929,12.5,12.364643,12.380714,10.494882,280134400
09-05-2011,12.423571,12.471429,12.376071,12.414286,10.523339,204747200
10-05-2011,12.460357,12.488929,12.380714,12.480357,10.579348,282091600
11-05-2011,12.465,12.5,12.33,12.401071,10.512137,336000000
12-05-2011,12.361429,12.397143,12.223929,12.3775,10.492158,322000000
13-05-2011,12.345,12.366071,12.155357,12.160714,10.308392,326116000
16-05-2011,12.114286,12.186429,11.878571,11.903571,10.090415,449775200
17-05-2011,11.857143,12.005,11.811786,12.005,10.176399,452334400
18-05-2011,12.016786,12.180357,12,12.138214,10.289321,334776400
19-05-2011,12.217143,12.228929,12.095357,12.161786,10.3093,261170000
20-05-2011,12.127143,12.176786,11.965,11.972143,10.148542,337968400
23-05-2011,11.784643,11.999286,11.765,11.942857,10.123716,383600000
